time,voltage
0.0,5.847675897268461
0.0001,27.13216235841064
0.0002,48.1576507911544
0.0003,69.9980607974658
0.0004,83.69965713259649
0.0005,100.44896002793217
0.0006,120.93347021930963
0.0007,133.21195539935184
0.0008,149.1375896218675
0.0009,158.3799210873156
0.001,168.79138305797446
0.0011,178.4558857725882
0.0012,186.5805160812911
0.0013,192.99321283326702
0.0014,193.93367391855622
0.0015,206.47689113478964
0.0016,210.08120038534304
0.0017,214.42846277427796
0.0018,226.7986414708489
0.0019,225.4396612091169
0.002,236.76374948639912
0.0021,238.94110721095888
0.0022,247.62810763010702
0.0023,246.72534797157127
0.0024,251.97373207108856
0.0025,256.7087650942971
0.0026,262.3853847749665
0.0027,268.69482880824137
0.0028,273.51667527548915
0.0029,271.10891474935005
0.003,275.2035081903524
0.0031,280.2994171216022
0.0032,282.90545385661403
0.0033,284.2846692868651
0.0034,282.7863675421708
0.0035,281.60494086929725
0.0036,289.57776990810316
0.0037,288.2395120848857
0.0038,290.8232287023709
0.0039,295.4574345777097
0.004,293.85977522267837
0.0041,299.5336187123264
0.0042,297.7748732628123
0.0043,302.73331503032165
0.0044,307.8564050088759
0.0045,310.8875136828558
0.0046,307.5762014910425
0.0047,310.81629806769496
0.0048,310.89888870381066
0.0049,309.6994152848053
0.005,309.0813934007716
0.0051,301.47632759685456
0.0052,302.48674202706104
0.0053,297.0225173904925
0.0054,292.1072925983871
0.0055,285.4545685519236
0.0056,278.33658899886933
0.0057,269.23424728664105
0.0058,260.66274358484264
0.0059,259.79863938741795
0.006,250.21738190664607
0.0061,244.8042412199366
0.0062,236.4997305540552
0.0063,228.74666624342885
0.0064,225.9907804857488
0.0065,221.1483850600671
0.0066,215.03227006904962
0.0067,211.2427723661252
0.0068,208.6809271657442
0.0069,200.92980524671592
0.007,193.14618148564995
0.0071,188.2280625175614
0.0072,180.29309037233492
0.0073,170.28864158301553
0.0074,160.37046134900433
0.0075,148.97821322833835
0.0076,132.60963357479272
0.0077,118.55044196185301
0.0078,100.86725963838293
0.0079,81.51565875987845
0.008,62.924716995106685
0.0081,42.919211200879374
0.0082,22.780039509570383
0.0083,2.2669633770187616
0.0084,-19.732830617478367
0.0085,-41.96098697798123
0.0086,-60.96022746266272
0.0087,-77.03386544451831
0.0088,-98.19476089966808
0.0089,-110.9336823420129
0.009,-127.43105901228698
0.0091,-140.95337103091214
0.0092,-152.52732269380812
0.0093,-166.72186846230392
0.0094,-174.79056950362184
0.0095,-185.30126823486322
0.0096,-192.41997567291304
0.0097,-197.19440893550026
0.0098,-200.35333648023646
0.0099,-210.92841029810666
0.01,-213.95938697758146
0.0101,-221.45391305865184
0.0102,-227.90685929500174
0.0103,-231.44259943944502
0.0104,-236.40418427795157
0.0105,-239.68923348192965
0.0106,-245.1390073753545
0.0107,-253.76367893778072
0.0108,-256.8557710105702
0.0109,-260.8129798126159
0.011,-267.73268482078356
0.0111,-269.9960632900331
0.0112,-273.5536796663381
0.0113,-276.25512844771714
0.0114,-277.8333665235441
0.0115,-280.1805791521177
0.0116,-284.4786848795809
0.0117,-283.4478946687947
0.0118,-286.3711610632175
0.0119,-288.02846292700247
0.012,-290.2207027281958
0.0121,-289.15399416773244
0.0122,-293.12230406786404
0.0123,-296.2826183553509
0.0124,-301.75929561421964
0.0125,-301.9108067405835
0.0126,-301.8928865936943
0.0127,-304.445339504282
0.0128,-307.544547202431
0.0129,-310.801984858506
0.013,-312.41579596391335
0.0131,-309.4154411138825
0.0132,-311.6654439419383
0.0133,-310.2553093490799
0.0134,-306.4504309066374
0.0135,-299.41573863587035
0.0136,-302.11989605858065
